Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Grammatical_markers$Exponence.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Flexivity.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$FlexivityFormative,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$FlexivityLexical.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$FlexivityStem,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Fusion,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$Fusion.binned6,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$Fusion.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$Fusion.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$Fusion.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$Fusion.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Grammatical_markers$HostMacroCat,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$HostRestrictions,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$HostRestrictions.binned.restricted,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$HostType,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Locus,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Locus.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Locus.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$MorphemeType,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$MorphemeType.Word.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
